@relation practice-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-D//Users/tommaso/Desktop/MDD/LAB1/Edge2/images-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {P1,P2,P3,P4,P5,P6}

@data
8,14,15,16,16,16,16,16,16,16,15,15,15,15,15,16,15,16,16,15,15,33,14,16,16,16,16,31,15,16,16,16,16,P1
28,15,16,16,16,15,15,16,16,16,16,15,15,16,15,16,15,16,15,15,15,31,16,16,16,16,16,31,16,16,16,16,16,P1
26,16,16,16,16,16,16,15,16,16,16,16,15,16,16,16,16,16,15,15,16,31,16,16,16,16,16,31,16,16,16,16,16,P1
35,15,15,15,16,15,16,15,16,15,16,15,15,16,15,16,15,16,16,16,15,29,16,16,16,15,16,29,16,16,16,16,16,P1
34,16,16,16,15,15,16,16,15,16,15,16,16,15,15,16,16,15,15,15,15,30,16,16,16,15,16,27,16,16,16,16,16,P1
9,16,15,16,15,16,16,15,16,16,16,16,16,16,15,16,16,16,16,16,16,33,16,16,15,15,16,32,15,16,15,16,16,P1
24,17,16,16,15,16,15,16,16,16,15,15,16,16,15,16,15,16,16,16,15,31,15,16,16,16,15,30,15,16,16,15,16,P1
14,15,17,17,15,15,15,15,15,16,15,16,15,15,15,16,15,15,15,16,15,29,15,15,15,16,16,28,15,17,16,16,16,P1
27,16,16,16,15,16,15,15,16,16,15,15,16,15,16,15,16,16,16,15,16,31,16,15,16,16,16,31,16,16,16,16,15,P1
27,16,16,15,16,15,16,16,16,15,15,16,15,16,15,16,16,16,16,15,17,31,16,16,16,16,16,31,16,16,16,16,15,P1
26,15,16,16,16,16,15,15,15,16,15,16,16,16,16,16,16,15,16,15,15,28,16,16,16,16,16,26,16,15,16,16,16,P1
11,16,16,15,15,16,16,16,15,15,15,15,16,16,15,15,15,16,16,15,15,31,16,15,16,16,16,32,15,15,16,15,15,P1
13,15,15,15,15,15,16,15,15,16,16,16,15,15,15,16,15,16,16,16,16,29,16,15,16,16,16,31,16,16,16,16,15,P1
12,16,16,16,16,16,16,15,16,15,16,16,15,15,15,15,16,15,16,15,15,32,15,15,16,16,16,30,16,16,16,16,15,P1
33,16,16,15,16,16,16,16,16,16,15,16,16,16,16,15,16,15,16,16,15,30,16,15,16,16,16,30,16,16,16,15,16,P1
9,14,13,15,16,15,16,16,16,16,16,16,16,15,16,15,16,16,15,15,15,32,16,15,16,16,15,30,16,16,16,15,15,P1
16,17,16,16,15,16,15,14,16,16,18,16,16,15,15,16,16,15,15,16,16,32,16,16,15,16,15,31,15,16,16,16,16,P1
17,13,12,17,15,13,17,14,16,13,18,16,16,15,16,17,15,14,16,16,15,34,15,16,16,16,16,30,16,16,15,15,16,P1
17,16,15,15,15,16,15,16,15,16,16,16,16,16,16,15,16,15,16,15,15,31,16,16,16,16,16,31,16,16,16,16,16,P1
23,15,15,15,16,15,15,16,16,15,15,16,15,16,15,15,16,16,16,15,16,31,16,16,16,15,16,31,16,16,16,15,16,P1
14,16,15,16,16,15,16,15,16,15,15,15,15,16,16,15,15,15,15,15,16,32,16,15,16,16,16,30,16,15,16,16,16,P1
31,16,15,15,16,15,15,15,15,16,16,16,16,15,16,16,15,15,16,16,15,31,16,16,16,16,16,29,15,16,16,15,16,P1
24,15,15,16,16,16,15,15,15,15,16,15,15,16,15,15,15,15,15,15,15,26,15,15,15,16,16,25,16,15,15,16,16,P1
20,16,15,15,15,16,16,15,16,15,16,16,16,16,16,15,15,15,15,16,16,28,16,16,16,16,15,31,15,15,16,16,16,P1
26,15,16,15,16,16,16,16,15,16,14,15,16,15,16,15,15,16,16,16,16,31,16,16,15,16,16,31,16,16,16,16,16,P1
14,15,15,14,17,15,15,16,15,17,15,16,15,16,15,16,16,15,15,15,16,31,15,16,16,16,16,31,16,16,16,16,16,P1
28,15,15,16,15,15,16,16,16,15,16,16,16,15,15,15,15,16,15,15,16,31,16,16,15,16,15,31,15,16,16,16,16,P1
30,16,17,16,16,14,16,15,16,16,16,16,16,16,14,16,15,15,16,15,16,30,15,15,15,16,15,27,15,16,15,16,16,P1
