@relation practice-weka.filters.unsupervised.instance.imagefilter.JpegCoefficientFilter-D//Users/tommaso/Desktop/MDD/LAB1/Kmeans3x3/images-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Histogram of JPEG Coefficients0' numeric
@attribute 'Histogram of JPEG Coefficients1' numeric
@attribute 'Histogram of JPEG Coefficients2' numeric
@attribute 'Histogram of JPEG Coefficients3' numeric
@attribute 'Histogram of JPEG Coefficients4' numeric
@attribute 'Histogram of JPEG Coefficients5' numeric
@attribute 'Histogram of JPEG Coefficients6' numeric
@attribute 'Histogram of JPEG Coefficients7' numeric
@attribute 'Histogram of JPEG Coefficients8' numeric
@attribute 'Histogram of JPEG Coefficients9' numeric
@attribute 'Histogram of JPEG Coefficients10' numeric
@attribute 'Histogram of JPEG Coefficients11' numeric
@attribute 'Histogram of JPEG Coefficients12' numeric
@attribute 'Histogram of JPEG Coefficients13' numeric
@attribute 'Histogram of JPEG Coefficients14' numeric
@attribute 'Histogram of JPEG Coefficients15' numeric
@attribute 'Histogram of JPEG Coefficients16' numeric
@attribute 'Histogram of JPEG Coefficients17' numeric
@attribute 'Histogram of JPEG Coefficients18' numeric
@attribute 'Histogram of JPEG Coefficients19' numeric
@attribute 'Histogram of JPEG Coefficients20' numeric
@attribute 'Histogram of JPEG Coefficients21' numeric
@attribute 'Histogram of JPEG Coefficients22' numeric
@attribute 'Histogram of JPEG Coefficients23' numeric
@attribute 'Histogram of JPEG Coefficients24' numeric
@attribute 'Histogram of JPEG Coefficients25' numeric
@attribute 'Histogram of JPEG Coefficients26' numeric
@attribute 'Histogram of JPEG Coefficients27' numeric
@attribute 'Histogram of JPEG Coefficients28' numeric
@attribute 'Histogram of JPEG Coefficients29' numeric
@attribute 'Histogram of JPEG Coefficients30' numeric
@attribute 'Histogram of JPEG Coefficients31' numeric
@attribute 'Histogram of JPEG Coefficients32' numeric
@attribute 'Histogram of JPEG Coefficients33' numeric
@attribute 'Histogram of JPEG Coefficients34' numeric
@attribute 'Histogram of JPEG Coefficients35' numeric
@attribute 'Histogram of JPEG Coefficients36' numeric
@attribute 'Histogram of JPEG Coefficients37' numeric
@attribute 'Histogram of JPEG Coefficients38' numeric
@attribute 'Histogram of JPEG Coefficients39' numeric
@attribute 'Histogram of JPEG Coefficients40' numeric
@attribute 'Histogram of JPEG Coefficients41' numeric
@attribute 'Histogram of JPEG Coefficients42' numeric
@attribute 'Histogram of JPEG Coefficients43' numeric
@attribute 'Histogram of JPEG Coefficients44' numeric
@attribute 'Histogram of JPEG Coefficients45' numeric
@attribute 'Histogram of JPEG Coefficients46' numeric
@attribute 'Histogram of JPEG Coefficients47' numeric
@attribute 'Histogram of JPEG Coefficients48' numeric
@attribute 'Histogram of JPEG Coefficients49' numeric
@attribute 'Histogram of JPEG Coefficients50' numeric
@attribute 'Histogram of JPEG Coefficients51' numeric
@attribute 'Histogram of JPEG Coefficients52' numeric
@attribute 'Histogram of JPEG Coefficients53' numeric
@attribute 'Histogram of JPEG Coefficients54' numeric
@attribute 'Histogram of JPEG Coefficients55' numeric
@attribute 'Histogram of JPEG Coefficients56' numeric
@attribute 'Histogram of JPEG Coefficients57' numeric
@attribute 'Histogram of JPEG Coefficients58' numeric
@attribute 'Histogram of JPEG Coefficients59' numeric
@attribute 'Histogram of JPEG Coefficients60' numeric
@attribute 'Histogram of JPEG Coefficients61' numeric
@attribute 'Histogram of JPEG Coefficients62' numeric
@attribute 'Histogram of JPEG Coefficients63' numeric
@attribute 'Histogram of JPEG Coefficients64' numeric
@attribute 'Histogram of JPEG Coefficients65' numeric
@attribute 'Histogram of JPEG Coefficients66' numeric
@attribute 'Histogram of JPEG Coefficients67' numeric
@attribute 'Histogram of JPEG Coefficients68' numeric
@attribute 'Histogram of JPEG Coefficients69' numeric
@attribute 'Histogram of JPEG Coefficients70' numeric
@attribute 'Histogram of JPEG Coefficients71' numeric
@attribute 'Histogram of JPEG Coefficients72' numeric
@attribute 'Histogram of JPEG Coefficients73' numeric
@attribute 'Histogram of JPEG Coefficients74' numeric
@attribute 'Histogram of JPEG Coefficients75' numeric
@attribute 'Histogram of JPEG Coefficients76' numeric
@attribute 'Histogram of JPEG Coefficients77' numeric
@attribute 'Histogram of JPEG Coefficients78' numeric
@attribute 'Histogram of JPEG Coefficients79' numeric
@attribute 'Histogram of JPEG Coefficients80' numeric
@attribute 'Histogram of JPEG Coefficients81' numeric
@attribute 'Histogram of JPEG Coefficients82' numeric
@attribute 'Histogram of JPEG Coefficients83' numeric
@attribute 'Histogram of JPEG Coefficients84' numeric
@attribute 'Histogram of JPEG Coefficients85' numeric
@attribute 'Histogram of JPEG Coefficients86' numeric
@attribute 'Histogram of JPEG Coefficients87' numeric
@attribute 'Histogram of JPEG Coefficients88' numeric
@attribute 'Histogram of JPEG Coefficients89' numeric
@attribute 'Histogram of JPEG Coefficients90' numeric
@attribute 'Histogram of JPEG Coefficients91' numeric
@attribute 'Histogram of JPEG Coefficients92' numeric
@attribute 'Histogram of JPEG Coefficients93' numeric
@attribute 'Histogram of JPEG Coefficients94' numeric
@attribute 'Histogram of JPEG Coefficients95' numeric
@attribute 'Histogram of JPEG Coefficients96' numeric
@attribute 'Histogram of JPEG Coefficients97' numeric
@attribute 'Histogram of JPEG Coefficients98' numeric
@attribute 'Histogram of JPEG Coefficients99' numeric
@attribute 'Histogram of JPEG Coefficients100' numeric
@attribute 'Histogram of JPEG Coefficients101' numeric
@attribute 'Histogram of JPEG Coefficients102' numeric
@attribute 'Histogram of JPEG Coefficients103' numeric
@attribute 'Histogram of JPEG Coefficients104' numeric
@attribute 'Histogram of JPEG Coefficients105' numeric
@attribute 'Histogram of JPEG Coefficients106' numeric
@attribute 'Histogram of JPEG Coefficients107' numeric
@attribute 'Histogram of JPEG Coefficients108' numeric
@attribute 'Histogram of JPEG Coefficients109' numeric
@attribute 'Histogram of JPEG Coefficients110' numeric
@attribute 'Histogram of JPEG Coefficients111' numeric
@attribute 'Histogram of JPEG Coefficients112' numeric
@attribute 'Histogram of JPEG Coefficients113' numeric
@attribute 'Histogram of JPEG Coefficients114' numeric
@attribute 'Histogram of JPEG Coefficients115' numeric
@attribute 'Histogram of JPEG Coefficients116' numeric
@attribute 'Histogram of JPEG Coefficients117' numeric
@attribute 'Histogram of JPEG Coefficients118' numeric
@attribute 'Histogram of JPEG Coefficients119' numeric
@attribute 'Histogram of JPEG Coefficients120' numeric
@attribute 'Histogram of JPEG Coefficients121' numeric
@attribute 'Histogram of JPEG Coefficients122' numeric
@attribute 'Histogram of JPEG Coefficients123' numeric
@attribute 'Histogram of JPEG Coefficients124' numeric
@attribute 'Histogram of JPEG Coefficients125' numeric
@attribute 'Histogram of JPEG Coefficients126' numeric
@attribute 'Histogram of JPEG Coefficients127' numeric
@attribute 'Histogram of JPEG Coefficients128' numeric
@attribute 'Histogram of JPEG Coefficients129' numeric
@attribute 'Histogram of JPEG Coefficients130' numeric
@attribute 'Histogram of JPEG Coefficients131' numeric
@attribute 'Histogram of JPEG Coefficients132' numeric
@attribute 'Histogram of JPEG Coefficients133' numeric
@attribute 'Histogram of JPEG Coefficients134' numeric
@attribute 'Histogram of JPEG Coefficients135' numeric
@attribute 'Histogram of JPEG Coefficients136' numeric
@attribute 'Histogram of JPEG Coefficients137' numeric
@attribute 'Histogram of JPEG Coefficients138' numeric
@attribute 'Histogram of JPEG Coefficients139' numeric
@attribute 'Histogram of JPEG Coefficients140' numeric
@attribute 'Histogram of JPEG Coefficients141' numeric
@attribute 'Histogram of JPEG Coefficients142' numeric
@attribute 'Histogram of JPEG Coefficients143' numeric
@attribute 'Histogram of JPEG Coefficients144' numeric
@attribute 'Histogram of JPEG Coefficients145' numeric
@attribute 'Histogram of JPEG Coefficients146' numeric
@attribute 'Histogram of JPEG Coefficients147' numeric
@attribute 'Histogram of JPEG Coefficients148' numeric
@attribute 'Histogram of JPEG Coefficients149' numeric
@attribute 'Histogram of JPEG Coefficients150' numeric
@attribute 'Histogram of JPEG Coefficients151' numeric
@attribute 'Histogram of JPEG Coefficients152' numeric
@attribute 'Histogram of JPEG Coefficients153' numeric
@attribute 'Histogram of JPEG Coefficients154' numeric
@attribute 'Histogram of JPEG Coefficients155' numeric
@attribute 'Histogram of JPEG Coefficients156' numeric
@attribute 'Histogram of JPEG Coefficients157' numeric
@attribute 'Histogram of JPEG Coefficients158' numeric
@attribute 'Histogram of JPEG Coefficients159' numeric
@attribute 'Histogram of JPEG Coefficients160' numeric
@attribute 'Histogram of JPEG Coefficients161' numeric
@attribute 'Histogram of JPEG Coefficients162' numeric
@attribute 'Histogram of JPEG Coefficients163' numeric
@attribute 'Histogram of JPEG Coefficients164' numeric
@attribute 'Histogram of JPEG Coefficients165' numeric
@attribute 'Histogram of JPEG Coefficients166' numeric
@attribute 'Histogram of JPEG Coefficients167' numeric
@attribute 'Histogram of JPEG Coefficients168' numeric
@attribute 'Histogram of JPEG Coefficients169' numeric
@attribute 'Histogram of JPEG Coefficients170' numeric
@attribute 'Histogram of JPEG Coefficients171' numeric
@attribute 'Histogram of JPEG Coefficients172' numeric
@attribute 'Histogram of JPEG Coefficients173' numeric
@attribute 'Histogram of JPEG Coefficients174' numeric
@attribute 'Histogram of JPEG Coefficients175' numeric
@attribute 'Histogram of JPEG Coefficients176' numeric
@attribute 'Histogram of JPEG Coefficients177' numeric
@attribute 'Histogram of JPEG Coefficients178' numeric
@attribute 'Histogram of JPEG Coefficients179' numeric
@attribute 'Histogram of JPEG Coefficients180' numeric
@attribute 'Histogram of JPEG Coefficients181' numeric
@attribute 'Histogram of JPEG Coefficients182' numeric
@attribute 'Histogram of JPEG Coefficients183' numeric
@attribute 'Histogram of JPEG Coefficients184' numeric
@attribute 'Histogram of JPEG Coefficients185' numeric
@attribute 'Histogram of JPEG Coefficients186' numeric
@attribute 'Histogram of JPEG Coefficients187' numeric
@attribute 'Histogram of JPEG Coefficients188' numeric
@attribute 'Histogram of JPEG Coefficients189' numeric
@attribute 'Histogram of JPEG Coefficients190' numeric
@attribute 'Histogram of JPEG Coefficients191' numeric
@attribute class {P1,P2,P3,P4,P5,P6}

@data
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,9,7,10,11,18,50,0,36,12,5,15,18,36,79,3,79,27,14,17,20,45,95,3,29,76,32,23,26,48,91,4,28,64,48,35,40,70,103,6,21,39,63,48,47,78,130,10,29,44,65,93,100,129,192,33,53,89,116,139,159,186,255,207,103,69,52,44,44,51,82,0,34,13,11,31,48,76,117,1,69,23,24,38,42,64,91,2,38,65,38,66,43,52,105,8,48,59,47,37,36,66,117,6,44,38,69,53,56,96,143,12,44,49,103,110,105,132,207,35,69,106,130,131,181,222,255,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,64,241,255,75,238,204,0,0,0,4,10,19,37,44,0,0,0,2,6,12,23,33,0,0,0,1,4,8,13,25,0,0,0,1,1,2,7,17,0,0,0,0,0,2,5,12,0,0,1,2,1,2,5,15,0,1,2,4,2,4,8,16,0,0,3,19,37,90,255,228,0,0,0,3,10,21,45,62,0,0,0,3,7,17,29,45,0,0,0,2,4,10,19,31,0,0,0,0,2,4,10,21,0,0,0,1,1,4,8,15,0,0,0,2,2,5,7,15,0,1,1,4,3,6,11,15,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,64,235,255,78,214,189,0,0,0,4,10,15,27,50,0,0,0,1,4,8,18,40,0,0,0,0,2,5,10,31,0,0,0,1,0,3,8,18,0,0,0,0,0,2,5,13,0,0,0,2,1,2,5,11,0,1,2,3,2,5,7,17,1,1,4,20,38,94,255,220,0,0,0,2,10,21,43,59,0,0,0,1,6,13,26,45,0,0,0,1,3,8,19,36,0,0,0,1,1,4,12,22,0,0,0,1,1,5,8,15,0,0,0,1,2,4,8,15,0,1,2,3,3,6,11,19,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,3,0,0,3,0,0,30,137,49,71,120,17,0,0,0,28,10,220,255,44,0,0,0,0,0,65,83,45,0,0,0,0,4,15,7,19,0,0,0,1,2,8,9,12,0,0,1,2,1,3,11,24,0,1,2,5,7,12,32,49,0,0,0,1,1,4,9,35,0,0,0,9,16,94,134,63,0,0,0,4,17,205,255,136,0,0,0,3,10,85,133,243,0,0,2,3,21,41,41,123,0,5,10,11,13,27,37,51,0,4,14,14,16,26,35,79,2,9,16,23,33,46,72,110,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,3,0,1,3,0,0,24,124,42,74,112,15,0,0,0,25,11,205,255,65,0,0,0,0,1,65,94,74,0,0,0,0,5,11,11,33,0,0,0,0,2,8,10,14,0,1,2,1,1,4,10,26,0,1,1,4,8,14,22,40,0,0,0,2,2,7,11,39,0,0,1,23,23,76,116,63,0,0,0,11,14,159,224,169,0,0,1,3,9,73,125,255,0,1,1,6,16,41,46,144,0,4,11,11,15,33,42,63,1,9,13,12,14,25,47,86,5,9,17,28,37,61,74,98,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,25,52,102,101,138,181,0,0,11,49,105,127,150,255,0,0,7,38,87,93,165,224,0,2,11,27,43,67,132,220,1,3,14,22,32,52,93,156,1,5,10,14,30,49,102,135,1,8,19,25,30,51,94,198,7,18,38,36,62,85,127,203,255,129,95,78,78,75,68,82,0,1,11,29,50,67,67,78,0,1,3,23,54,55,67,69,0,4,8,20,58,33,51,68,0,8,6,10,25,19,41,55,0,8,6,11,10,19,48,61,1,13,15,21,17,25,49,70,5,21,33,27,29,38,52,74,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,255,234,107,0,0,0,0,4,26,49,77,0,0,0,0,4,17,39,77,0,0,0,1,5,17,42,72,0,0,0,2,9,22,36,70,0,0,2,6,13,25,42,70,0,3,7,11,19,32,50,94,5,15,19,29,35,51,83,114,118,59,40,33,70,255,225,146,0,0,0,0,12,39,72,111,0,0,0,2,14,32,55,111,0,0,1,5,14,24,54,111,0,2,2,4,10,27,41,82,0,2,3,13,11,36,54,99,0,8,15,25,25,47,78,126,8,22,42,42,51,73,108,167,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,40,0,0,0,0,2,5,18,44,0,2,5,1,4,7,23,61,0,15,19,3,5,13,24,86,0,2,7,8,9,14,32,66,0,1,12,35,32,34,67,71,2,7,14,33,33,51,83,84,8,22,37,56,247,255,95,112,7,3,2,1,1,4,14,39,0,0,0,0,2,6,18,46,0,25,27,6,8,10,24,56,0,72,79,7,9,13,25,85,0,8,36,57,21,12,34,74,1,4,95,255,98,23,55,62,2,8,46,130,57,36,70,87,10,21,39,54,211,203,91,120,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19,47,65,160,248,255,0,0,0,2,10,25,41,67,0,0,0,0,3,8,15,31,0,0,0,1,2,4,11,22,0,0,0,1,2,4,8,17,0,0,0,1,1,3,5,13,0,0,1,2,1,4,6,12,0,2,3,4,3,6,9,16,27,29,67,133,131,190,255,168,0,0,0,1,7,15,25,35,0,0,0,0,2,3,6,15,0,0,0,1,2,1,5,9,0,0,0,0,1,1,3,7,0,0,0,0,0,1,3,6,0,0,0,1,0,1,3,7,0,1,2,2,1,3,4,8,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,67,234,255,76,227,200,0,0,0,3,11,18,31,40,0,0,0,1,5,11,18,40,0,0,0,1,3,5,11,25,0,0,0,1,1,3,8,20,0,0,0,1,0,2,7,14,0,0,1,1,1,3,8,15,0,1,2,4,1,5,9,19,0,1,4,21,38,83,255,220,0,0,0,3,10,20,41,54,0,0,0,2,6,13,25,44,0,0,0,2,4,8,18,29,0,0,0,1,2,4,10,21,0,0,0,1,1,4,10,17,0,0,0,2,2,4,10,15,0,1,2,4,4,6,12,19,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,59,116,93,240,255,188,0,0,0,2,4,17,25,46,0,0,0,0,2,5,8,20,0,0,0,1,3,3,9,19,0,0,0,1,2,3,6,11,0,0,0,1,1,3,8,13,0,1,1,3,2,5,10,17,0,2,4,4,3,6,9,20,0,0,12,41,34,41,77,255,0,0,0,0,6,13,28,72,0,0,0,0,2,7,18,32,0,0,0,2,3,8,15,34,0,0,0,2,4,8,15,26,0,1,1,3,5,8,15,24,0,1,2,4,8,10,17,29,1,5,6,7,11,15,20,31,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,33,0,0,0,0,1,6,17,51,0,0,0,1,4,11,25,47,16,8,5,5,5,18,29,67,9,14,24,15,10,19,34,66,4,26,27,18,23,32,56,74,23,109,78,34,46,45,70,99,42,255,180,84,82,97,90,129,44,22,14,11,8,9,10,22,0,0,0,0,2,7,15,34,1,0,0,1,4,8,19,36,29,12,4,3,8,10,19,41,19,26,16,10,6,10,21,43,23,86,37,11,15,23,30,50,76,222,110,27,33,31,47,75,52,255,195,67,66,70,83,112,P1
255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,34,23,17,15,14,13,21,0,0,0,5,74,239,97,28,0,0,0,3,87,255,154,81,0,0,0,1,23,81,109,108,0,0,0,1,5,23,87,71,0,0,1,1,4,13,29,27,0,2,3,5,6,11,18,35,1,6,10,11,16,21,34,47,255,127,84,63,50,42,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1
