 1. Vote_Average_3cls_SimpleLogistic_PART_REPTree.txt            | Average  | 3 cls | Acc=63.23%
 2. Vote_Majority_3cls_SimpleLogistic_PART_REPTree.txt           | Majority | 3 cls | Acc=61.90%
 3. Vote_Majority_3cls_JRip_PART_RandomForest.txt                | Majority | 3 cls | Acc=61.38%
 4. Vote_Average_3cls_JRip_PART_RandomForest.txt                 | Average  | 3 cls | Acc=61.38%
 5. Vote_Majority_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Majority | 5 cls | Acc=61.11%
 6. Vote_Average_3cls_SimpleLogistic_IBk_J48.txt                 | Average  | 3 cls | Acc=60.85%
 7. Vote_Average_3cls_SMO_PART_J48.txt                           | Average  | 3 cls | Acc=60.58%
 8. Vote_Majority_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=60.58%
 9. Vote_Majority_3cls_SimpleLogistic_IBk_J48.txt                | Majority | 3 cls | Acc=60.32%
10. Vote_Average_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=60.32%
11. Vote_Average_3cls_IBk_JRip_RandomTree.txt                    | Average  | 3 cls | Acc=60.05%
12. Vote_Majority_5cls_IBk_JRip_PART_REPTree_RandomForest.txt    | Majority | 5 cls | Acc=60.05%
13. Vote_Average_5cls_IBk_JRip_PART_REPTree_RandomForest.txt     | Average  | 5 cls | Acc=60.05%
14. Vote_Majority_3cls_IBk_JRip_RandomTree.txt                   | Majority | 3 cls | Acc=59.79%
15. Vote_Majority_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt  | Majority | 5 cls | Acc=59.79%
16. Vote_Average_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt   | Average  | 5 cls | Acc=59.79%
17. Vote_Average_3cls_IBk_PART_RandomForest.txt                  | Average  | 3 cls | Acc=59.52%
18. Vote_Average_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Average  | 5 cls | Acc=59.52%
19. Vote_Majority_3cls_SMO_PART_J48.txt                          | Majority | 3 cls | Acc=59.26%
20. Vote_Majority_3cls_IBk_PART_RandomForest.txt                 | Majority | 3 cls | Acc=58.99%
21. Vote_Average_3cls_SimpleLogistic_JRip_J48.txt                | Average  | 3 cls | Acc=58.99%
22. Vote_Majority_5cls_SMO_JRip_J48_REPTree_RandomTree.txt       | Majority | 5 cls | Acc=58.99%
23. Vote_Majority_3cls_REPTree_RandomForest_RandomTree.txt       | Majority | 3 cls | Acc=58.73%
24. Vote_Average_3cls_REPTree_RandomForest_RandomTree.txt        | Average  | 3 cls | Acc=58.73%
25. Vote_Average_5cls_SMO_JRip_J48_REPTree_RandomTree.txt        | Average  | 5 cls | Acc=58.47%
26. Vote_Majority_3cls_SimpleLogistic_JRip_J48.txt               | Majority | 3 cls | Acc=57.94%
27. Vote_Majority_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt  | Majority | 5 cls | Acc=57.14%
28. Vote_Majority_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt       | Majority | 5 cls | Acc=57.14%
29. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Majority | 5 cls | Acc=55.82%
30. Vote_Majority_3cls_NaiveBayes_IBk_RandomTree.txt             | Majority | 3 cls | Acc=54.76%
31. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Majority | 5 cls | Acc=53.97%
32. Vote_Majority_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=51.59%
33. Vote_Majority_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt  | Majority | 3 cls | Acc=42.06%
34. Vote_Average_3cls_NaiveBayes_IBk_RandomTree.txt              | Average  | 3 cls | Acc=0.00%
35. Vote_Average_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt   | Average  | 3 cls | Acc=0.00%
36. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Average  | 5 cls | Acc=0.00%
37. Vote_Average_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt   | Average  | 5 cls | Acc=0.00%
38. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Average  | 5 cls | Acc=0.00%
39. Vote_Average_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt        | Average  | 5 cls | Acc=0.00%
40. Vote_Average_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=0.00%
