 1. Vote_Majority_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt  | Majority | 5 cls | Acc=72.22%
 2. Vote_Majority_3cls_SimpleLogistic_IBk_J48.txt                | Majority | 3 cls | Acc=71.69%
 3. Vote_Average_3cls_SimpleLogistic_IBk_J48.txt                 | Average  | 3 cls | Acc=71.69%
 4. Vote_Majority_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt  | Majority | 5 cls | Acc=71.69%
 5. Vote_Average_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt   | Average  | 5 cls | Acc=71.69%
 6. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Majority | 5 cls | Acc=70.90%
 7. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Average  | 5 cls | Acc=70.63%
 8. Vote_Majority_3cls_IBk_PART_RandomForest.txt                 | Majority | 3 cls | Acc=70.37%
 9. Vote_Majority_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Majority | 5 cls | Acc=70.37%
10. Vote_Average_3cls_SimpleLogistic_JRip_J48.txt                | Average  | 3 cls | Acc=70.11%
11. Vote_Majority_5cls_IBk_JRip_PART_REPTree_RandomForest.txt    | Majority | 5 cls | Acc=70.11%
12. Vote_Average_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Average  | 5 cls | Acc=70.11%
13. Vote_Majority_5cls_SMO_JRip_J48_REPTree_RandomTree.txt       | Majority | 5 cls | Acc=69.84%
14. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Average  | 5 cls | Acc=69.84%
15. Vote_Average_3cls_IBk_PART_RandomForest.txt                  | Average  | 3 cls | Acc=69.58%
16. Vote_Majority_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=69.58%
17. Vote_Majority_3cls_SimpleLogistic_JRip_J48.txt               | Majority | 3 cls | Acc=69.31%
18. Vote_Average_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=69.31%
19. Vote_Average_5cls_IBk_JRip_PART_REPTree_RandomForest.txt     | Average  | 5 cls | Acc=69.05%
20. Vote_Average_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt   | Average  | 3 cls | Acc=68.78%
21. Vote_Average_5cls_SMO_JRip_J48_REPTree_RandomTree.txt        | Average  | 5 cls | Acc=68.78%
22. Vote_Average_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt   | Average  | 5 cls | Acc=68.78%
23. Vote_Majority_3cls_IBk_JRip_RandomTree.txt                   | Majority | 3 cls | Acc=68.52%
24. Vote_Majority_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt  | Majority | 3 cls | Acc=68.52%
25. Vote_Average_3cls_IBk_JRip_RandomTree.txt                    | Average  | 3 cls | Acc=68.52%
26. Vote_Average_3cls_SimpleLogistic_PART_REPTree.txt            | Average  | 3 cls | Acc=68.52%
27. Vote_Majority_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt       | Majority | 5 cls | Acc=68.52%
28. Vote_Majority_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=68.52%
29. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Majority | 5 cls | Acc=68.25%
30. Vote_Majority_3cls_SimpleLogistic_PART_REPTree.txt           | Majority | 3 cls | Acc=67.99%
31. Vote_Average_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt        | Average  | 5 cls | Acc=67.46%
32. Vote_Majority_3cls_NaiveBayes_IBk_RandomTree.txt             | Majority | 3 cls | Acc=67.20%
33. Vote_Average_3cls_NaiveBayes_IBk_RandomTree.txt              | Average  | 3 cls | Acc=67.20%
34. Vote_Majority_3cls_SMO_PART_J48.txt                          | Majority | 3 cls | Acc=66.93%
35. Vote_Majority_3cls_REPTree_RandomForest_RandomTree.txt       | Majority | 3 cls | Acc=66.67%
36. Vote_Majority_3cls_JRip_PART_RandomForest.txt                | Majority | 3 cls | Acc=66.67%
37. Vote_Average_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=66.67%
38. Vote_Average_3cls_JRip_PART_RandomForest.txt                 | Average  | 3 cls | Acc=66.14%
39. Vote_Average_3cls_SMO_PART_J48.txt                           | Average  | 3 cls | Acc=65.34%
40. Vote_Average_3cls_REPTree_RandomForest_RandomTree.txt        | Average  | 3 cls | Acc=64.81%
