 1. Vote_Majority_3cls_IBk_PART_RandomForest.txt                 | Majority | 3 cls | Acc=86.77%
 2. Vote_Majority_3cls_SimpleLogistic_IBk_J48.txt                | Majority | 3 cls | Acc=86.77%
 3. Vote_Average_3cls_SimpleLogistic_IBk_J48.txt                 | Average  | 3 cls | Acc=86.77%
 4. Vote_Average_3cls_IBk_PART_RandomForest.txt                  | Average  | 3 cls | Acc=86.24%
 5. Vote_Majority_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt  | Majority | 5 cls | Acc=85.45%
 6. Vote_Majority_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Majority | 5 cls | Acc=85.19%
 7. Vote_Average_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Average  | 5 cls | Acc=85.19%
 8. Vote_Majority_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=83.33%
 9. Vote_Average_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt   | Average  | 5 cls | Acc=83.07%
10. Vote_Majority_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt  | Majority | 5 cls | Acc=82.80%
11. Vote_Average_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt   | Average  | 5 cls | Acc=82.80%
12. Vote_Majority_5cls_IBk_JRip_PART_REPTree_RandomForest.txt    | Majority | 5 cls | Acc=81.48%
13. Vote_Average_5cls_IBk_JRip_PART_REPTree_RandomForest.txt     | Average  | 5 cls | Acc=81.48%
14. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Majority | 5 cls | Acc=80.69%
15. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Average  | 5 cls | Acc=80.42%
16. Vote_Average_3cls_SimpleLogistic_JRip_J48.txt                | Average  | 3 cls | Acc=80.16%
17. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Average  | 5 cls | Acc=79.89%
18. Vote_Majority_3cls_IBk_JRip_RandomTree.txt                   | Majority | 3 cls | Acc=79.63%
19. Vote_Majority_3cls_SimpleLogistic_JRip_J48.txt               | Majority | 3 cls | Acc=79.63%
20. Vote_Average_3cls_IBk_JRip_RandomTree.txt                    | Average  | 3 cls | Acc=79.63%
21. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Majority | 5 cls | Acc=79.37%
22. Vote_Average_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=78.84%
23. Vote_Majority_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt  | Majority | 3 cls | Acc=78.57%
24. Vote_Average_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt   | Average  | 3 cls | Acc=78.57%
25. Vote_Majority_3cls_NaiveBayes_IBk_RandomTree.txt             | Majority | 3 cls | Acc=78.04%
26. Vote_Average_3cls_NaiveBayes_IBk_RandomTree.txt              | Average  | 3 cls | Acc=78.04%
27. Vote_Majority_5cls_SMO_JRip_J48_REPTree_RandomTree.txt       | Majority | 5 cls | Acc=78.04%
28. Vote_Majority_3cls_JRip_PART_RandomForest.txt                | Majority | 3 cls | Acc=77.51%
29. Vote_Majority_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt       | Majority | 5 cls | Acc=77.51%
30. Vote_Average_3cls_JRip_PART_RandomForest.txt                 | Average  | 3 cls | Acc=76.98%
31. Vote_Majority_3cls_REPTree_RandomForest_RandomTree.txt       | Majority | 3 cls | Acc=75.40%
32. Vote_Average_5cls_SMO_JRip_J48_REPTree_RandomTree.txt        | Average  | 5 cls | Acc=75.40%
33. Vote_Average_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt        | Average  | 5 cls | Acc=75.40%
34. Vote_Average_3cls_SimpleLogistic_PART_REPTree.txt            | Average  | 3 cls | Acc=75.13%
35. Vote_Majority_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=75.13%
36. Vote_Majority_3cls_SMO_PART_J48.txt                          | Majority | 3 cls | Acc=74.60%
37. Vote_Majority_3cls_SimpleLogistic_PART_REPTree.txt           | Majority | 3 cls | Acc=74.60%
38. Vote_Average_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=74.34%
39. Vote_Average_3cls_SMO_PART_J48.txt                           | Average  | 3 cls | Acc=73.54%
40. Vote_Average_3cls_REPTree_RandomForest_RandomTree.txt        | Average  | 3 cls | Acc=70.37%
