BAGGING:

    - edge_colorlayout:
                1. J48             | Iter=10 | Accuracy=60.32%
                2. RandomForest    | Iter=10 | Accuracy=59.79%
                3. RandomForest    | Iter=15 | Accuracy=59.26%
                15
                6. PART            | Iter=15 | Accuracy=57.94%
                7. REPTree         | Iter=10 | Accuracy=57.67%
                8. REPTree         | Iter=15 | Accuracy=56.35%
                9. REPTree         | Iter=5  | Accuracy=55.82%
                10. PART            | Iter=10 | Accuracy=55.82%
                11. NaiveBayes      | Iter=5  | Accuracy=55.56%
                12. NaiveBayes      | Iter=10 | Accuracy=54.23%
                13. NaiveBayes      | Iter=15 | Accuracy=54.23%
                14. J48             | Iter=5  | Accuracy=53.70%
                15. JRip            | Iter=15 | Accuracy=52.91%
                16. RandomTree      | Iter=15 | Accuracy=52.65%
                17. PART            | Iter=5  | Accuracy=52.12%
                18. JRip            | Iter=10 | Accuracy=51.59%
                19. JRip            | Iter=5  | Accuracy=50.00%
                20. RandomTree      | Iter=10 | Accuracy=46.30%
                21. RandomTree      | Iter=5  | Accuracy=44.71%
                22. SimpleLogistic  | Iter=10 | Accuracy=40.74%
                23. SimpleLogistic  | Iter=5  | Accuracy=39.95%
                24. SimpleLogistic  | Iter=15 | Accuracy=39.95%
                25. SMO             | Iter=5  | Accuracy=38.89%
                26. SMO             | Iter=15 | Accuracy=38.89%
                27. SMO             | Iter=10 | Accuracy=38.62%
                28. IBk             | Iter=5  | Accuracy=30.42%
                29. IBk             | Iter=15 | Accuracy=30.42%
                30. IBk             | Iter=10 | Accuracy=29.89%

    - kmeans_autocolor:
                1. RandomForest    | Iter=10 | Accuracy=60.05%
                2. PART            | Iter=10 | Accuracy=60.05%
                3. PART            | Iter=15 | Accuracy=59.79%
                4. RandomForest    | Iter=15 | Accuracy=58.99%
                5. J48             | Iter=10 | Accuracy=58.73%
                6. RandomForest    | Iter=5  | Accuracy=58.20%
                7. IBk             | Iter=10 | Accuracy=58.20%
                8. PART            | Iter=5  | Accuracy=58.20%
                9. J48             | Iter=15 | Accuracy=57.94%
                10. J48             | Iter=5  | Accuracy=57.67%
                11. RandomTree      | Iter=10 | Accuracy=57.41%
                12. JRip            | Iter=15 | Accuracy=57.41%
                13. RandomTree      | Iter=5  | Accuracy=57.14%
                14. RandomTree      | Iter=15 | Accuracy=57.14%
                15. REPTree         | Iter=15 | Accuracy=56.88%
                16. IBk             | Iter=15 | Accuracy=56.88%
                17. REPTree         | Iter=10 | Accuracy=56.61%
                18. SimpleLogistic  | Iter=5  | Accuracy=56.61%
                19. REPTree         | Iter=5  | Accuracy=56.08%
                20. SimpleLogistic  | Iter=15 | Accuracy=55.56%
                21. IBk             | Iter=5  | Accuracy=55.56%
                22. JRip            | Iter=10 | Accuracy=55.56%
                23. SimpleLogistic  | Iter=10 | Accuracy=55.03%
                24. JRip            | Iter=5  | Accuracy=53.97%
                25. SMO             | Iter=10 | Accuracy=50.26%
                26. SMO             | Iter=15 | Accuracy=49.47%
                27. SMO             | Iter=5  | Accuracy=49.21%


    -kmeans_jpeg:
                1. RandomForest    | Iter=5  | Accuracy=72.49%
                2. RandomForest    | Iter=10 | Accuracy=72.22%
                3. SimpleLogistic  | Iter=10 | Accuracy=71.69%
                4. RandomForest    | Iter=15 | Accuracy=71.43%
                5. REPTree         | Iter=15 | Accuracy=71.16%
                6. REPTree         | Iter=10 | Accuracy=70.63%
                7. SimpleLogistic  | Iter=5  | Accuracy=70.37%
                8. J48             | Iter=10 | Accuracy=69.84%
                9. SimpleLogistic  | Iter=15 | Accuracy=69.58%
                10. RandomTree      | Iter=15 | Accuracy=69.31%
                11. PART            | Iter=10 | Accuracy=69.31%
                12. PART            | Iter=15 | Accuracy=69.05%
                13. J48             | Iter=15 | Accuracy=68.52%
                14. JRip            | Iter=15 | Accuracy=68.25%
                15. REPTree         | Iter=5  | Accuracy=67.99%
                16. J48             | Iter=5  | Accuracy=67.72%
                17. JRip            | Iter=10 | Accuracy=67.72%
                18. SMO             | Iter=10 | Accuracy=67.20%
                19. IBk             | Iter=5  | Accuracy=66.93%
                20. SMO             | Iter=15 | Accuracy=66.40%
                21. PART            | Iter=5  | Accuracy=66.14%
                22. RandomTree      | Iter=10 | Accuracy=65.87%
                23. SMO             | Iter=5  | Accuracy=65.34%
                24. RandomTree      | Iter=5  | Accuracy=65.08%
                25. JRip            | Iter=5  | Accuracy=65.08%
                26. IBk             | Iter=10 | Accuracy=64.02%
                27. IBk             | Iter=15 | Accuracy=62.96%
                28. NaiveBayes      | Iter=10 | Accuracy=61.38%
                29. NaiveBayes      | Iter=5  | Accuracy=60.85%
                30. NaiveBayes      | Iter=15 | Accuracy=60.58%

    - original_autocolor:
                1. SMO             | Iter=5  | Accuracy=83.33%
                2. SMO             | Iter=15 | Accuracy=83.07%
                3. SimpleLogistic  | Iter=5  | Accuracy=82.54%
                4. RandomForest    | Iter=10 | Accuracy=82.28%
                5. RandomForest    | Iter=15 | Accuracy=82.28%
                6. SMO             | Iter=10 | Accuracy=82.28%
                7. SimpleLogistic  | Iter=10 | Accuracy=82.28%
                8. RandomForest    | Iter=5  | Accuracy=81.75%
                9. SimpleLogistic  | Iter=15 | Accuracy=80.69%
                10. IBk             | Iter=5  | Accuracy=79.89%
                11. IBk             | Iter=10 | Accuracy=79.89%
                12. IBk             | Iter=15 | Accuracy=79.89%
                13. JRip            | Iter=15 | Accuracy=79.37%
                14. RandomTree      | Iter=15 | Accuracy=79.10%
                15. PART            | Iter=10 | Accuracy=78.84%
                16. PART            | Iter=15 | Accuracy=78.57%
                17. JRip            | Iter=10 | Accuracy=78.04%
                18. J48             | Iter=15 | Accuracy=76.98%
                19. RandomTree      | Iter=10 | Accuracy=76.19%
                20. J48             | Iter=10 | Accuracy=75.13%
                21. JRip            | Iter=5  | Accuracy=73.81%
                22. PART            | Iter=5  | Accuracy=73.28%
                23. J48             | Iter=5  | Accuracy=73.02%
                24. REPTree         | Iter=10 | Accuracy=71.69%
                25. REPTree         | Iter=15 | Accuracy=71.16%
                26. RandomTree      | Iter=5  | Accuracy=71.16%
                27. REPTree         | Iter=5  | Accuracy=67.20%

BOOSTING:

    - edge_colorlayout:
            1. J48             | Iter=15 | Accuracy=57.67%
            2. PART            | Iter=15 | Accuracy=57.41%
            3. J48             | Iter=10 | Accuracy=56.08%
            4. PART            | Iter=5  | Accuracy=55.03%
            5. PART            | Iter=10 | Accuracy=55.03%
            6. J48             | Iter=5  | Accuracy=54.76%
            7. JRip            | Iter=15 | Accuracy=54.76%
            8. JRip            | Iter=10 | Accuracy=54.50%
            9. NaiveBayes      | Iter=5  | Accuracy=54.50%
            10. NaiveBayes      | Iter=10 | Accuracy=54.50%
            11. NaiveBayes      | Iter=15 | Accuracy=54.50%
            12. REPTree         | Iter=10 | Accuracy=54.23%
            13. REPTree         | Iter=15 | Accuracy=54.23%
            14. REPTree         | Iter=5  | Accuracy=53.44%
            15. JRip            | Iter=5  | Accuracy=49.21%
            16. SimpleLogistic  | Iter=5  | Accuracy=41.01%
            17. SimpleLogistic  | Iter=10 | Accuracy=41.01%
            18. SimpleLogistic  | Iter=15 | Accuracy=41.01%
            19. RandomTree      | Iter=5  | Accuracy=36.77%
            20. RandomTree      | Iter=10 | Accuracy=36.77%
            21. RandomTree      | Iter=15 | Accuracy=36.77%
            22. DecisionStump   | Iter=5  | Accuracy=25.93%
            23. DecisionStump   | Iter=10 | Accuracy=25.93%
            24. DecisionStump   | Iter=15 | Accuracy=25.93%

    - kmeans_autocolor:
            1. RandomTree      | Iter=5  | Accuracy=60.58%
            2. RandomTree      | Iter=10 | Accuracy=60.58%
            3. RandomTree      | Iter=15 | Accuracy=60.58%
            4. J48             | Iter=10 | Accuracy=58.99%
            5. J48             | Iter=15 | Accuracy=58.99%
            6. PART            | Iter=5  | Accuracy=58.99%
            7. PART            | Iter=10 | Accuracy=58.99%
            8. J48             | Iter=5  | Accuracy=58.73%
            9. PART            | Iter=15 | Accuracy=58.47%
            10. REPTree         | Iter=10 | Accuracy=57.14%
            11. REPTree         | Iter=15 | Accuracy=57.14%
            12. REPTree         | Iter=5  | Accuracy=56.88%
            13. SimpleLogistic  | Iter=5  | Accuracy=55.03%
            14. SimpleLogistic  | Iter=10 | Accuracy=55.03%
            15. SimpleLogistic  | Iter=15 | Accuracy=55.03%
            16. JRip            | Iter=5  | Accuracy=51.32%
            17. JRip            | Iter=10 | Accuracy=51.32%
            18. JRip            | Iter=15 | Accuracy=51.32%
            19. DecisionStump   | Iter=5  | Accuracy=34.92%
            20. DecisionStump   | Iter=10 | Accuracy=34.92%
            21. DecisionStump   | Iter=15 | Accuracy=34.92%
            22. NaiveBayes      | Iter=5  | Accuracy=0.00%
            23. NaiveBayes      | Iter=10 | Accuracy=0.00%
            24. NaiveBayes      | Iter=15 | Accuracy=0.00%


    -kmeans_jpeg:
            1. J48             | Iter=15 | Accuracy=73.02%
            2. PART            | Iter=15 | Accuracy=72.75%
            3. PART            | Iter=10 | Accuracy=72.49%
            4. J48             | Iter=10 | Accuracy=71.96%
            5. J48             | Iter=5  | Accuracy=69.58%
            6. JRip            | Iter=15 | Accuracy=69.31%
            7. JRip            | Iter=10 | Accuracy=67.99%
            8. REPTree         | Iter=10 | Accuracy=67.46%
            9. SimpleLogistic  | Iter=5  | Accuracy=67.46%
            10. SimpleLogistic  | Iter=10 | Accuracy=67.46%
            11. SimpleLogistic  | Iter=15 | Accuracy=67.46%
            12. REPTree         | Iter=5  | Accuracy=67.20%
            13. REPTree         | Iter=15 | Accuracy=66.14%
            14. PART            | Iter=5  | Accuracy=66.14%
            15. JRip            | Iter=5  | Accuracy=64.81%
            16. NaiveBayes      | Iter=5  | Accuracy=58.99%
            17. NaiveBayes      | Iter=10 | Accuracy=58.99%
            18. NaiveBayes      | Iter=15 | Accuracy=58.99%
            19. RandomTree      | Iter=5  | Accuracy=58.20%
            20. RandomTree      | Iter=10 | Accuracy=58.20%
            21. RandomTree      | Iter=15 | Accuracy=58.20%
            22. DecisionStump   | Iter=5  | Accuracy=37.83%
            23. DecisionStump   | Iter=10 | Accuracy=37.83%
            24. DecisionStump   | Iter=15 | Accuracy=37.83%

    - original_autocolor:
            1. PART            | Iter=15 | Accuracy=83.07%
            2. J48             | Iter=15 | Accuracy=82.80%
            3. SimpleLogistic  | Iter=5  | Accuracy=80.69%
            4. SimpleLogistic  | Iter=10 | Accuracy=80.69%
            5. SimpleLogistic  | Iter=15 | Accuracy=80.69%
            6. JRip            | Iter=15 | Accuracy=80.16%
            7. J48             | Iter=10 | Accuracy=79.63%
            8. PART            | Iter=10 | Accuracy=79.63%
            9. JRip            | Iter=10 | Accuracy=76.98%
            10. REPTree         | Iter=15 | Accuracy=76.46%
            11. J48             | Iter=5  | Accuracy=75.13%
            12. JRip            | Iter=5  | Accuracy=75.13%
            13. PART            | Iter=5  | Accuracy=73.54%
            14. REPTree         | Iter=10 | Accuracy=72.75%
            15. REPTree         | Iter=5  | Accuracy=69.05%
            16. NaiveBayes      | Iter=10 | Accuracy=68.78%
            17. NaiveBayes      | Iter=15 | Accuracy=68.78%
            18. NaiveBayes      | Iter=5  | Accuracy=68.25%
            19. RandomTree      | Iter=5  | Accuracy=62.17%
            20. RandomTree      | Iter=10 | Accuracy=62.17%
            21. RandomTree      | Iter=15 | Accuracy=62.17%
            22. DecisionStump   | Iter=5  | Accuracy=31.48%
            23. DecisionStump   | Iter=10 | Accuracy=31.48%
            24. DecisionStump   | Iter=15 | Accuracy=31.48%

STACKING A:

    - edge_colorlayout:
     1. StackA_SMO_NaiveBayes_SimpleLogistic_J48.txt       | Accuracy=60.85%
 2. StackA_SimpleLogistic_PART_J48_RandomForest.txt    | Accuracy=60.58%
 3. StackA_SimpleLogistic_NaiveBayes_RandomForest_RandomTree.txt | Accuracy=60.05%
 4. StackA_RandomForest_PART_REPTree_RandomForest.txt  | Accuracy=59.79%
 5. StackA_RandomForest_JRip_PART_RandomForest.txt     | Accuracy=59.52%
 6. StackA_SMO_SimpleLogistic_REPTree_RandomForest.txt | Accuracy=58.99%
 7. StackA_RandomForest_J48_REPTree_RandomForest.txt   | Accuracy=58.73%
 8. StackA_SMO_IBk_REPTree_RandomForest.txt            | Accuracy=58.47%
 9. StackA_RandomForest_JRip_J48_RandomForest.txt      | Accuracy=58.20%
10. StackA_RandomForest_NaiveBayes_JRip_J48.txt        | Accuracy=57.94%
11. StackA_SMO_IBk_J48_RandomForest.txt                | Accuracy=57.67%
12. StackA_SMO_SimpleLogistic_IBk_RandomForest.txt     | Accuracy=57.41%
13. StackA_SMO_REPTree_RandomForest_RandomTree.txt     | Accuracy=57.41%
14. StackA_SimpleLogistic_SimpleLogistic_IBk_RandomForest.txt | Accuracy=57.41%
15. StackA_JRip_IBk_REPTree_RandomForest.txt           | Accuracy=57.14%
16. StackA_RandomForest_SimpleLogistic_J48_REPTree.txt | Accuracy=55.29%
17. StackA_REPTree_NaiveBayes_J48_RandomForest.txt     | Accuracy=55.29%
18. StackA_SimpleLogistic_JRip_J48_REPTree.txt         | Accuracy=55.03%
19. StackA_RandomForest_JRip_J48_REPTree.txt           | Accuracy=54.50%
20. StackA_RandomForest_SimpleLogistic_IBk_REPTree.txt | Accuracy=54.23%
21. StackA_SMO_JRip_J48_REPTree.txt                    | Accuracy=53.97%
